date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:42:00	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-6466194d-e04cf2f6095ea303;gz%22	https://free.kurd4u.com/itms-services://?action=download-manifest&url=https://kurd4u.com/plist/bully	C:/Users/salm%20duski/Pictures/website/free.kurd4u.com/itms-services_/index7c1a.html	(from https://free.kurd4u.com/)
01:42:00	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-6466194d-e04cf2f6095ea303;gz%22	https://free.kurd4u.com/itms-services://?action=download-manifest&url=https://kurd4u.com/plist/carparking	C:/Users/salm%20duski/Pictures/website/free.kurd4u.com/itms-services_/index1817.html	(from https://free.kurd4u.com/)
01:42:00	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-6466194d-e04cf2f6095ea303;gz%22	https://free.kurd4u.com/itms-services://?action=download-manifest&url=https://kurd4u.com/plist/TempleRun2	C:/Users/salm%20duski/Pictures/website/free.kurd4u.com/itms-services_/indexe661.html	(from https://free.kurd4u.com/)
01:42:01	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-6466194d-e04cf2f6095ea303;gz%22	https://free.kurd4u.com/itms-services://?action=download-manifest&url=https://kurd4u.com/plist/carxdrifting2	C:/Users/salm%20duski/Pictures/website/free.kurd4u.com/itms-services_/index919e.html	(from https://free.kurd4u.com/)
01:42:01	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-6466194d-e04cf2f6095ea303;gz%22	https://free.kurd4u.com/itms-services://?action=download-manifest&url=https://kurd4u.com/plist/carxstreet	C:/Users/salm%20duski/Pictures/website/free.kurd4u.com/itms-services_/index9080.html	(from https://free.kurd4u.com/)
01:42:01	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-6466194d-e04cf2f6095ea303;gz%22	https://free.kurd4u.com/itms-services://?action=download-manifest&url=https://kurd4u.com/plist/CarXDrift	C:/Users/salm%20duski/Pictures/website/free.kurd4u.com/itms-services_/index29b4.html	(from https://free.kurd4u.com/)
01:42:01	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-6466194d-e04cf2f6095ea303;gz%22	https://free.kurd4u.com/itms-services://?action=download-manifest&url=https://kurd4u.com/plist/RushRally	C:/Users/salm%20duski/Pictures/website/free.kurd4u.com/itms-services_/index8677.html	(from https://free.kurd4u.com/)
01:42:01	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-6466194d-e04cf2f6095ea303;gz%22	https://free.kurd4u.com/itms-services://?action=download-manifest&url=https://kurd4u.com/plist/clashroyal	C:/Users/salm%20duski/Pictures/website/free.kurd4u.com/itms-services_/index2fda.html	(from https://free.kurd4u.com/)
01:42:01	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-6466194d-e04cf2f6095ea303;gz%22	https://free.kurd4u.com/itms-services://?action=download-manifest&url=https://kurd4u.com/plist/clashofclans	C:/Users/salm%20duski/Pictures/website/free.kurd4u.com/itms-services_/index37d5.html	(from https://free.kurd4u.com/)
01:42:01	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-6466194d-e04cf2f6095ea303;gz%22	https://free.kurd4u.com/itms-services://?action=download-manifest&url=https://kurd4u.com/plist/DjayPro	C:/Users/salm%20duski/Pictures/website/free.kurd4u.com/itms-services_/index4998.html	(from https://free.kurd4u.com/)
